AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2211,POLICE OFFICER                     ,F,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,34,203
2212,POLICE OFFICER                     ,F,B ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34,204
2213,POLICE OFFICER                     ,M,B ,OVER 60,71,TRAFFIC                                                ,2ND PLATOON                                            ,34,205
2214,POLICE OFFICER                     ,M,W ,OVER 60,78,FORMER EMPLOYEE                                        ,,35,206
2215,POLICE MAJOR                       ,M,W ,50 - 59,59,SPECIAL OPERATIONS                                     ,STAFF                                                  ,34,207
2216,POLICE OFFICER                     ,M,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,34,208
2217,POLICE OFFICER                     ,M,B ,50 - 59,58,TRAFFIC                                                ,2ND PLATOON                                            ,34,209
2218,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,17,210
2219,POLICE OFFICER                     ,M,W ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34,211
2220,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,34,212
2221,POLICE OFFICER                     ,M,W ,OVER 60,64,CANINE UNIT                                            ,2ND PLATOON                                            ,34,213
2224,POLICE LIEUTENANT                  ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,34,214
2225,POLICE OFFICER                     ,M,B ,OVER 60,70,4TH DIVISION                                           ,2ND PLATOON                                            ,34,215
2226,POLICE CHIEF                       ,M,W ,50 - 59,53,CHIEF`S STAFF                                          ,STAFF                                                  ,24,216
2227,POLICE LIEUTENANT                  ,F,W ,40 - 49,44,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,19,217
2228,POLICE OFFICER                     ,M,W ,50 - 59,57,5TH DIVISION                                           ,1ST PLATOON                                            ,34,218
2229,POLICE OFFICER                     ,M,W ,OVER 60,66,5TH DIVISION                                           ,2ND PLATOON                                            ,16,219
2230,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,21,220
2232,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,25,221
2234,POLICE OFFICER                     ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17,222
2235,POLICE OFFICER                     ,M,B ,50 - 59,59,FORMER EMPLOYEE                                        ,,34,223
2236,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,17,224
2237,POLICE OFFICER                     ,M,W ,50 - 59,59,1ST DIVISION                                           ,3RD PLATOON                                            ,13,225
2238,POLICE OFFICER                     ,M,W ,50 - 59,56,4TH DIVISION                                           ,DETECTIVES                                             ,14,226
2239,POLICE OFFICER                     ,M,W ,OVER 60,66,TRAFFIC                                                ,1ST PLATOON                                            ,34,227
