AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2241,POLICE OFFICER                     ,M,B ,OVER 60,60,TRAFFIC                                                ,3RD PLATOON                                            ,34,228
2243,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,CIS ROBBERY                                            ,STAFF                                                  ,34,229
2244,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,2ND DIVISION                                           ,STAFF                                                  ,20,230
2246,POLICE SERGEANT                    ,M,W ,40 - 49,48,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,23,231
2248,POLICE OFFICER                     ,M,W ,50 - 59,51,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,22,232
2249,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,2ND DIVISION                                           ,STAFF                                                  ,25,233
2253,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,22,234
2255,POLICE OFFICER                     ,M,W ,50 - 59,57,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,24,235
2256,POLICE SERGEANT                    ,M,W ,OVER 60,60,7TH DIVISION                                           ,3RD PLATOON                                            ,24,236
2257,POLICE OFFICER                     ,M,A ,50 - 59,56,TRAINING                                               ,BASIC ACADEMY                                          ,23,237
2259,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,CANINE UNIT                                            ,STAFF                                                  ,22,238
2260,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,18,239
2261,POLICE SERGEANT                    ,M,W ,40 - 49,41,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,19,240
2262,POLICE SERGEANT                    ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21,241
2267,POLICE OFFICER                     ,F,W ,40 - 49,48,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,23,242
2269,POLICE MAJOR                       ,M,W ,40 - 49,48,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,23,243
2272,POLICE OFFICER                     ,M,W ,40 - 49,45,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,21,244
2274,POLICE SERGEANT                    ,M,W ,50 - 59,51,7TH DIVISION                                           ,1ST PLATOON                                            ,22,245
2278,POLICE OFFICER                     ,M,W ,OVER 60,60,5TH DIVISION                                           ,1ST PLATOON                                            ,22,246
2280,POLICE OFFICER                     ,M,W ,50 - 59,50,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,23,247
2281,POLICE OFFICER                     ,M,B ,OVER 60,73,FORMER EMPLOYEE                                        ,,23,248
2283,POLICE LIEUTENANT                  ,F,W ,40 - 49,41,6TH DIVISION                                           ,STAFF                                                  ,19,249
2285,POLICE OFFICER                     ,M,W ,50 - 59,53,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25,250
2288,POLICE SERGEANT                    ,F,W ,OVER 60,62,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,25,251
2289,POLICE SERGEANT                    ,M,W ,50 - 59,51,8TH DIVISION                                           ,DETECTIVES                                             ,23,252
2290,POLICE SERGEANT                    ,M,W ,50 - 59,53,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,25,253
2291,POLICE OFFICER                     ,M,W ,50 - 59,51,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,23,254
2292,POLICE OFFICER                     ,M,W ,50 - 59,55,8TH DIVISION                                           ,1ST PLATOON                                            ,25,255
2293,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,23,256
2294,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,1ST DIVISION                                           ,STAFF                                                  ,23,257
2295,POLICE SERGEANT                    ,M,W ,50 - 59,50,TRAFFIC                                                ,2ND PLATOON                                            ,23,258
2296,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,21,259
2298,POLICE OFFICER                     ,F,W ,40 - 49,49,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,23,260
2300,POLICE OFFICER                     ,M,W ,30 - 39,39,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,17,261
2301,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,23,262
2302,POLICE SERGEANT                    ,F,W ,40 - 49,49,8TH DIVISION                                           ,STAFF                                                  ,23,263
2303,POLICE OFFICER                     ,M,W ,40 - 49,40,FORMER EMPLOYEE                                        ,,17,264
2306,POLICE OFFICER                     ,M,W ,OVER 60,60,SWAT UNIT                                              ,SQUAD 1                                                ,23,265
2307,POLICE SERGEANT                    ,M,W ,40 - 49,44,6TH DIVISION                                           ,1ST PLATOON                                            ,18,266
2308,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,24,267
2309,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY SERVICES                                     ,STAFF                                                  ,25,268
2310,POLICE SERGEANT                    ,M,B ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,20,269
2311,POLICE OFFICER                     ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,18,270
2312,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,23,271
2313,POLICE OFFICER                     ,M,W ,50 - 59,52,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,24,272
2314,POLICE OFFICER                     ,M,W ,OVER 60,61,7TH DIVISION                                           ,1ST PLATOON                                            ,17,273
2315,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,1ST PLATOON                                            ,22,274
2317,POLICE OFFICER                     ,M,W ,50 - 59,51,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,23,275
2318,POLICE OFFICER                     ,M,B ,40 - 49,48,2ND DIVISION                                           ,2ND PLATOON                                            ,21,276
2319,POLICE OFFICER                     ,M,W ,50 - 59,53,1ST DIVISION                                           ,BIKE PLATOON                                           ,23,277
